DISTRICT,TOTAL,ACTIVE,RECOVERED,DECEASED
Anantapur,1159,764,388,7
Chittoor,725,429,290,6
East Godavari,836,519,311,6
Foreign Evacuees,372,289,83,0
Guntur,1032,477,538,17
Krishna,1199,626,524,49
Kurnool,1615,694,873,48
Other State,1764,672,1092,0
Prakasam,246,111,133,2
S.P.S. Nellore,537,227,306,4
Srikakulam,62,24,36,2
Visakhapatnam,427,201,223,3
Vizianagaram,122,83,39,0
West Godavari,760,643,116,1
Y.S.R. Kadapa,633,388,244,1
