S.NO,COUNTRY,TOTAL CASES,NEW CASES,DEATHS,NEW DEATHS,TOTAL RECOVERED,ACTIVE CASES,SERIOUS/CRITICAL
193,Seychelles,11,0,0,0,5,6,0
194,Suriname,10,0,1,0,6,3,0
195,MS Zaandam,9,0,2,0,0,7,0
196,Nicaragua,9,0,2,0,6,1,0
197,Gambia,9,0,1,0,2,6,0
198,Vatican City,8,0,0,0,2,6,0
199,Mauritania,7,0,1,0,6,0,0
200,Papua New Guinea,7,0,0,0,0,7,0
201,St. Barth,6,0,0,0,5,1,0
202,Western Sahara,6,0,0,0,0,6,0
203,Burundi,5,0,1,0,0,4,0
204,Bhutan,5,0,0,0,2,3,0
205,Caribbean Netherlands,5,2,0,0,0,5,0
206,British Virgin Islands,4,0,1,1,2,1,0
207,Sao Tome and Principe,4,0,0,0,0,4,0
208,South Sudan,4,0,0,0,0,4,0
209,Anguilla,3,0,0,0,1,2,0
210,Saint Pierre Miquelon,1,0,0,0,0,1,0
211,Yemen,1,0,0,0,0,1,0
212,China,82735,16,4632,0,77062,1041,85
